version,author,changed_artifact,artifact_version,prompt_hash,tools_hash,reason,hypothesis,metric_name,metric_before,metric_after,run_file
v1,Team Research Paper Scout,system_prompt.md,v1+p5db45c7e4ead+t6cdb53d5d7b8,5db45c7e4ead06c7ac31f12489a9a185bca5799f239c7f3ba2cc2093b6e29ec0,6cdb53d5d7b8de80d60b298b1357f462cedbedfae261d5ba60b08ccc401687c5,"v0 failed missing-information boundaries and confused tools in several routing cases","Explicit clarification boundaries and routing conventions in the system prompt should improve tool routing accuracy",tool_routing_accuracy,0.90,0.85,runs/v1_B_base_ollama_20260729T171944242900.json
v2,Team Research Paper Scout,tools.yaml,v2+p5db45c7e4ead+t6d61c495ff9e,5db45c7e4ead06c7ac31f12489a9a185bca5799f239c7f3ba2cc2093b6e29ec0,6d61c495ff9e6326ca939892476c6cadbc56de2a2c64bec323c2a87e012ec3fd,"v1 still confused timeline versus social_search and produced incorrect tool arguments","Clearer tool descriptions and argument conventions should improve tool routing accuracy",tool_routing_accuracy,0.85,0.90,runs/v2_B_base_ollama_20260729T172639580436.json
v3,Team Research Paper Scout,system_prompt.md,v3+p8f52d7fd7e7c+t6d61c495ff9e,8f52d7fd7e7c28ce792e4b511c5cdd08e77c76b9d22b020ef7c9a51ee49708f4,6d61c495ff9e6326ca939892476c6cadbc56de2a2c64bec323c2a87e012ec3fd,"v2 still confused timeline versus social_search and mishandled corrected multi-turn intent","Stricter intent and latest-user-correction rules should improve tool routing accuracy",tool_routing_accuracy,0.90,0.85,runs/v3_B_base_ollama_20260729T174149159851.json
